Serial Number,Published At,Comment
120,2023-02-19T12:27:04Z,The truth most believe is from the perspective that&#39;s said by someone else ¯\_(ツ)_/¯
121,2023-02-18T16:10:47Z,Yes exactly this condition is only in Delhi
122,2023-02-18T08:58:15Z,Thanks for mentioning uttarakhand :)
123,2023-02-18T00:22:07Z,NO.1 SCAM COUNTRY
124,2023-02-17T17:47:05Z,I am an Indian and i totally disagree with your video. India is definitely a polluted country and you are showing just the clean cities videos.
125,2023-02-16T15:06:25Z,You are really missing south india If you want to see the greenery Come to kerala
126,2023-02-16T06:48:07Z,This guy is trying his best but we all know the reality of india.
127,2023-02-15T18:40:36Z,Uttarakhand is not polluted like other places of India And uttarkashi is one of the place that have cleanest  air
128,2023-02-15T16:25:58Z,@karl Rock I have watched your many videos. But i notice one thing common you always negative about india
129,2023-02-15T15:42:52Z,Only narinder modi makes india more n more polluted every single year
130,2023-02-15T12:00:54Z,"God has gifted me a beautiful life Nd do you know whyBecause I was born in madhya Pradesh present day  chhattisgarhNd then I went to dehradun for 4 years of schooling Nd currently working in Pune, maharastra I&#39;m blessed with nature Nd best memories i got from those 4 years in devbhomi, uttrakhandTruly heaven"
131,2023-02-15T07:37:34Z,And Northeast is even greener
132,2023-02-14T00:30:07Z,Pakistan is way beautifil than this.
133,2023-02-12T06:30:10Z,Uttarakhand my hometown missing it
134,2023-02-12T06:22:58Z,"Come to uttrakhand, clear all of your misconceptions"
135,2023-02-10T19:53:04Z,Hows that not possible if Westerners decide to plant all Factories in Asia
136,2023-02-10T15:39:29Z,Nop it&#39;s even shittier
137,2023-02-10T06:39:12Z,Why media do not show these things
138,2023-02-09T18:30:06Z,Thank you KarlIndia is most beautiful in the world
139,2023-02-08T22:25:59Z,Lol India tried to ban you
140,2023-02-08T17:14:30Z,Hey Karl plz come uttrakhand
141,2023-02-08T16:33:37Z,Who cares ?
142,2023-02-08T14:41:15Z,Most of Indian believe they are descendent of God but not monkeys.
143,2023-02-08T14:00:56Z,"thank youlike thank youlike so muchI had foreign friends who visited India once and they don&#39;t come back because of the media! LIKE NOO, India is soo beautiful!"
144,2023-02-08T13:42:52Z,"You are doing great work, i really appreciate you. European leftist media want to dark our image and showing/highlight to the world the dark side image of India"
145,2023-02-08T12:50:54Z,Oh no where would Hollywood director find slum to shoot!
146,2023-02-08T12:26:14Z,"I live in Maharashtra but am originally from Chhattisgarh, people don&#39;t visit the site due to poverty or illiteracy, but it is actually peaceful and a good area for vacation."
147,2023-02-08T10:17:05Z,"The media is a powerful tool to the foreign world. We think americans are racist, radicals, but that&#39;s only one side of a bigger coin."
148,2023-02-08T06:20:59Z,Bro Media needs trp they go to slums.. If foreigners come in India they took pictures of poors intentionally they took photos of slum areas as well ..... But If u travel every part of India .. It means u travel whole world
149,2023-02-07T19:14:50Z,Outside of the what cities?
150,2023-02-07T14:45:02Z,"Who cares about villages, maximum population resides in cities and that&#39;s what we&#39;re concerned about , and this reality of dirty air is the truth"
151,2023-02-07T10:43:23Z,"October - November is most polluted in India, because we celebrate Diwali in one of the days. On Diwali, many people launch fireworks."
152,2023-02-07T10:41:54Z,I belong to Chattisgarh
153,2023-02-07T07:56:18Z,I missed the clean part
154,2023-02-07T02:52:02Z,Not really....
155,2023-02-06T19:26:01Z,Thanks bro You are showing real INDIA
156,2023-02-06T18:35:28Z,Plz come to Kerala (the god&#39;s own country)
157,2023-02-06T18:11:38Z,U should come to south india
158,2023-02-06T16:36:26Z,"Its not a misconception.~14 out of top 20  most polluted cities are from India. Most metropolis pollution index hovers around dangerous level throughout the year, except during monsoon."
159,2023-02-06T16:02:36Z,Mega cities in India are only 4 rest of India is a heaven... Try it....
160,2023-02-06T15:45:57Z,as a resident of uttarakhand I can say it&#39;s much more beautiful than this
161,2023-02-06T14:56:30Z,I WAS IN INDIA AND IT LOOKS FILTHY AND POLLUTED AS HELL .INDIANS TAKE SHIT IN THE OPEN  ON RAILWAY LINES.
162,2023-02-06T13:12:29Z,"Don’t show this video, we don’t want outside to come India ….already people come and fool us …. Like English US or whatever… just leave alone India and Indian innocent people…"
163,2023-02-06T12:45:07Z,People who live in India
164,2023-02-06T12:27:59Z,"in india ,brorhel mafia,supplies home  children ,women by sedating thm during their trip , to govt officials n police officials.if married,sedated,raped during periods,take control of men by sending girls n videographing or making thm addict.stay away frm india .here full of such bastards"
165,2023-02-06T12:24:17Z,I live in Delhi and literally it&#39;s the most polluted city i have ever seen.
166,2023-02-06T12:05:21Z,Fact - Most of North Indians immigrate to South India ro get better education so as to get job and still the province is underrated
167,2023-02-06T11:27:21Z,Any Indian Here Already knows what happens to Delhi in winter .Bro its just a fog... Right ?
168,2023-02-06T08:22:45Z,Right
169,2023-02-06T02:19:59Z,"Karl , maharashtra raigad beautiful place ever"
170,2023-02-05T16:53:44Z,Karl you also glanced over the main reason for the smog which is the burning of fields by the punjabis. So you are equally guilty like the media
171,2023-02-05T15:44:44Z,Welcome to West coast of India(especially Karnataka Goa and Kerala).....(perhaps the best inhabitable region in the entire world)
172,2023-02-05T15:25:39Z,Great
173,2023-02-05T14:31:19Z,Thank you Karl ! You are a true Indian at heart. Keep up the good work !
174,2023-02-05T08:46:55Z,Include south also
175,2023-02-05T07:14:31Z,"Why people relate india with states like Delhi , Mumbai or Chennai there are many other states and places which are better than those"
176,2023-02-05T05:54:33Z,North Indian states are Poorly Managed. Come to South Indian cities.
177,2023-02-05T05:25:14Z,salute for showing the truth..
178,2023-02-05T04:50:26Z,bro their many things for visitors come to India and visit
179,2023-02-05T04:36:25Z,Wow  India is so beautiful  even though I&#39;m Pakistani
180,2023-02-05T03:36:09Z,Visit India once...all misconceptions will vanish
181,2023-02-04T23:11:48Z,".......but there&#39;s RAPE in every 15minutes in india, no?"
182,2023-02-04T19:08:04Z,Yes bro your right Thank to support us....
183,2023-02-04T18:54:20Z,"Because the other side is really rare, what the media shows is actually what 80% of India looks like (for most states, not all)"
184,2023-02-04T18:22:57Z,Finally someone showing the true India....
185,2023-02-04T18:03:37Z,"What a frank analysis,sir. Thank you for your promptness.  In the past, usually the westerners depicted India as a beggar country,with snake charmers etc at street corners of cities. Actually,it wás rich, beautiful, cultured,educated,it is so and it will be so in future also.Thank you. We love our motherland,so much.thank you."
186,2023-02-04T17:55:48Z,"This is fine, but we are all familiar with the AIQ of Delhi, and we really need to work on it &#39;cos it&#39;s important."
187,2023-02-04T14:30:04Z,Bro first see then talk
188,2023-02-04T13:22:41Z,Its Delhi ever day
189,2023-02-04T12:48:54Z,tyx for showing the real picture of India
190,2023-02-04T12:41:58Z,Thanks
191,2023-02-04T12:33:30Z,Cover northeast
192,2023-02-04T11:22:27Z,Sooo I subscribed your channel I am from DelhiThis short is a breather for usss
193,2023-02-04T10:52:14Z,You won my respect bro.
194,2023-02-04T08:14:45Z,Yes you&#39;re right
195,2023-02-04T06:05:42Z,"Few positives, lot of negatives."
196,2023-02-04T04:54:54Z,I am from chhattisgarh and i agree my state is full of greenery
197,2023-02-04T04:04:47Z,This video for the foreigners so that they came to India but here lots of Indian in comment section.
198,2023-02-04T03:53:50Z,Karl You Should Visit Odisha. India&#39;s best kept Secret.
199,2023-02-04T01:42:05Z,I&#39;m Indian it not misconception its stay like foggy most of the time
200,2023-02-03T17:42:46Z,Thank you
201,2023-02-03T17:14:21Z,If your a fan of nature..come vist our state Mizoram in India the people are generous and lovely here and nature here is just great but if your looking for more of a nature themed places i wouldn&#39;t recommend our capital Aizawl
202,2023-02-03T14:32:47Z,You are the best!! Thannku so much
203,2023-02-03T11:30:11Z,Why India people has onion body smell?
204,2023-02-03T10:27:44Z,I’ve been to Mumbai………don’t know what misconception you’re talking about
205,2023-02-03T10:19:56Z,Delhi is a part of India! It doesn&#39;t even represent 90% of the South India and may be 50% of the north!!
206,2023-02-03T05:36:50Z,"Omg.  No one cares, its india"
207,2023-02-03T04:45:02Z,"Bruh, i SMELLED india when i flew over it. You aint changing any minds"
208,2023-02-03T03:31:19Z,"Stfu, it&#39;s still polluted way beyond acceptable levels throughout the year"
209,2023-02-03T02:52:07Z,"Sir, u r a true Indian. Thanks for your support and efforts"
210,2023-02-02T20:57:41Z,Thank you bro
211,2023-02-02T20:31:39Z,All of those pictures had pretty limited visibility.
212,2023-02-02T20:02:18Z,"Yeah but do they still shit in the streets? Just looked it up 48%, over 500 million people craping in public. If it&#39;s the rainy season bring stilts."
213,2023-02-02T19:56:20Z,That sounds an awful lot like tourism propaganda
214,2023-02-02T19:32:46Z,Yeah dude but I doubt ordinary people who have to earn for the living can afford not to live in those polluted big cities
215,2023-02-02T16:40:56Z,But I guarantee you if you come to Delhi. You could see air pollution everywhere
216,2023-02-02T14:50:32Z,Shouldn&#39;t happen AT ALL
